Job Title,Company Name,Experience,Location,Job Description
Data Engineer & Senior Data engineer (immediate to 30 days NP)banking,Sphere IT Consultants DWC LLC,5 - 10 Years,Dubai - United Arab Emirates (UAE),"Responsibilities include data analysis, feature engineering, and automation using Python, Spark, SQL, and tools like Jupyter and Git."
Lead Data Engineer – AWS,NorthBay Solutions Private Limited,8 - 15 Years,Cairo - Egypt,"Lead design and implementation of AWS data pipelines, ETL solutions, and data warehousing while mentoring engineers and ensuring data governance."
Senior Data Engineer,Al Futtaim Private Company (LLC),10 - 16 Years,Dubai - United Arab Emirates (UAE),"Design and manage scalable data pipelines, convert business requirements into specifications, and collaborate using Azure tools and methodologies."
Data Engineer,DUBAI PROPERTIES GROUP LLC,3 - 6 Years,Dubai - United Arab Emirates (UAE),"Design and maintain data pipelines, develop ETL processes, ensure data quality, collaborate with stakeholders, and advocate for agile methodologies."
Senior MS Fabric Data Engineer,Alpha Data Recruitment,5 - 10 Years,Dubai - United Arab Emirates (UAE),"Design and maintain scalable data architectures on Microsoft Fabric, optimize data pipelines with Python and PowerShell, and implement data governance practices."
Senior Quantitative Data Engineer & Algo Developer,AlphaCrest Advisors,4 - 8 Years,Dubai - United Arab Emirates (UAE),"Build and scale data pipelines, execute trading signals, maintain infrastructure, and develop algorithms using Python and cloud technologies."
Data Engineer - Systematic Commodities Hedge Fund,Moreton Capital Partners,3 - 5 Years,"Abu Dhabi - United Arab Emirates , Dubai - United Arab Emirates","Design and maintain data pipelines, build ETL workflows, and collaborate with researchers, requiring strong Python skills and understanding of data systems."
Senior Data Engineer,Etihad Airways,5 - 10 Years,Abu Dhabi - United Arab Emirates,"Lead and mentor a Databricks engineering team, ensuring best practices in data development, architecture, and continuous improvement of data product reliability."
Senior Data Engineer,Silver Edge Arabia,5 - 7 Years,Eastern Province - Saudi Arabia,"The role involves optimizing data lakes for GenAI, designing ETL processes, collaborating with Data Scientists, and requires expertise in Python, SQL, and big data frameworks."
Bioinformatics Data Engineer,GenBio AI,1 - 7 Years,Abu Dhabi - United Arab Emirates,"The role involves acquiring, processing, and analyzing biological data, ensuring quality and compliance, while collaborating with scientists and engineers."
Senior Data Engineer - Data Platform,Salla,4 - 7 Years,Makkah Al Mukarramah - Saudi Arabia,"Design and maintain scalable ETL/ELT pipelines, optimize data infrastructure, implement CI/CD workflows, and manage data quality and architecture."
Data Engineer,AtliQ Technologies,3 - 5 Years,Qatar - Qatar,"Design and optimize data pipelines using Azure tools, ensure data quality, and support analytics while collaborating with engineers and stakeholders."
Senior Databricks Data Engineer,Luxoft,5 - 7 Years,United Arab Emirates - United Arab Emirates,"Develop and maintain scalable data pipelines using Databricks, PySpark, and SQL, ensuring data accuracy and optimizing performance for investment analytics."
Sr. Data Engineer,aspire,5 - 7 Years,Jordan - Jordan,"Design and implement ETL pipelines, optimize SQL queries, and develop data workflows using Python and cloud data warehouses like Snowflake."
Senior Data Engineer,Uniparticle,5 - 7 Years,Cairo - Egypt,"Design and implement scalable data ingestion and transformation pipelines, integrating multiple data sources while ensuring data quality and performance optimization."
Senior Data Engineer,Sana Commerce,8 - 10 Years,Alexandria - Egypt,"Design and maintain scalable data pipelines, optimize data infrastructure, and develop AI-driven solutions using Azure Data Services and Databricks."
Senior Data Engineer,aspire,5 - 7 Years,Amman - Jordan,"Design and maintain scalable data pipelines using Python and Snowflake, ensuring data quality and collaborating with teams for analytics support."
Senior Data Engineer,Client of imploy,6 - 8 Years,Dubai - United Arab Emirates,"Design and maintain scalable ETL pipelines, optimize data architectures, ensure data quality, and mentor junior engineers in a remote environment."
Senior Data Engineer,Intelmatix,5 - 10 Years,Riyadh - Saudi Arabia,"Design and implement Data Lakehouse architecture, build data ingestion frameworks, ensure data quality, optimize workflows, and maintain security compliance."
Principal Data Engineer,Integrant Inc,6 - 8 Years,Egypt - Egypt,"Lead design and development of data analytical solutions using Microsoft technologies, mentor junior engineers, and optimize data architectures including Data Lakes and Warehouses."
Senior Data Engineer,Easygenerator,8 - 13 Years,Alexandria - Egypt,"Design and maintain scalable data pipelines, develop real-time processing frameworks, and optimize data solutions for eCommerce applications using Azure and Databricks."
Senior Data Engineer,Vodafone,1 - 3 Years,Egypt - Egypt,"The role involves empowering connectivity, fostering diversity, and encouraging applications from candidates with varied backgrounds and experiences."
Senior Data Engineer,Hala,5 - 7 Years,Riyadh - Saudi Arabia,"Design and optimize data infrastructure, implement CDC pipelines, manage databases, and ensure data governance while collaborating with analytics teams."
Data Engineer,SOUM,2 - 7 Years,Egypt - Egypt,"Design and maintain scalable data pipelines, ensuring data quality and integration while utilizing Python, SQL, and cloud platforms for data engineering tasks."
Data Engineer,Teliolabs Communication Private Limited,8 - 12 Years,Dubai - United Arab Emirates,"Design, develop, and optimize data pipelines and ETL processes using AWS services and open-source tools, ensuring data integrity and collaboration with data scientists."
Senior Data Engineer - Location: Alexandria,Sana Commerce,8 - 10 Years,Cairo - Egypt,"Design and optimize Azure and Databricks-based data infrastructure, develop scalable ETL pipelines, and collaborate with teams on AI-driven solutions."
Senior Data Engineer (ML/AI),Sana Commerce,8 - 10 Years,Cairo - Egypt,"Design and maintain data pipelines for machine learning, ensuring data quality and governance while collaborating with data scientists and engineers."
Senior Data Engineer (ML/AI),Sana Commerce,8 - 10 Years,Alexandria - Egypt,"Design and maintain data pipelines for machine learning, ensuring data quality and governance while collaborating with data scientists and engineers."
Data Engineer (PySpark),GSSTech Group,3 - 8 Years,Dubai - United Arab Emirates,"Design and maintain ETL pipelines using PySpark on Cloudera, ensuring data quality, performance optimization, and collaboration with stakeholders."
Data Engineer,QIC digital hub,3 - 5 Years,Doha - Qatar,"Design and maintain scalable data pipelines using Apache Airflow and Google Cloud Platform, ensuring data quality and collaborating with cross-functional teams."
Senior Data Engineer (Data & AI),Sifi,5 - 10 Years,Riyadh - Saudi Arabia,"Design and own scalable data models and cloud data warehouse, ensuring data quality and compliance while supporting AI-driven initiatives."
Data Engineer (3-5 Yrs),Sol Analytics,3 - 5 Years,Dubai - United Arab Emirates,"Architect and optimize data storage solutions, develop ETL processes, ensure data governance, and provide technical leadership in data engineering."
Senior Data Engineer (ML/AI),Easygenerator,8 - 13 Years,Alexandria - Egypt,"Design and maintain data pipelines for machine learning, ensuring data quality and governance while collaborating with data scientists and engineers."
Data Engineer,Institute Of Foundation Models,1 - 7 Years,Abu Dhabi - United Arab Emirates,"Specializing in Natural Language Processing, the role involves data collection, web crawling, and pipeline development, requiring a Bachelor's degree in a technical field."
Data Engineer Informatica,NEXEL PARTNERS,3 - 5 Years,Egypt - Egypt,"Develop and optimize ETL pipelines, manage data integration, ensure data quality, and support data governance with strong Informatica and SQL expertise."
Data Engineer (Microsoft Fabric),Ontrac Solutions,3 - 8 Years,Cairo - Egypt,"Design and develop data pipelines using Microsoft Fabric, optimize data storage, implement security controls, and collaborate with data scientists for telecom and fintech data."
Cloudera Data Engineer,Midis Group,2 - 5 Years,Dubai - United Arab Emirates,"Seeking an experienced Cloudera Data Engineer to build and maintain big data pipelines, optimize workflows, and ensure data governance and performance."
Data Engineer - X Delivery,The Boston Consulting Group,1 - 7 Years,Morocco - Morocco,"Collaborate with teams to design and develop data engineering solutions using Python, cloud platforms, and databases while ensuring effective communication."
Senior Data Engineer - X Delivery,The Boston Consulting Group,4 - 6 Years,Casablanca - Morocco,"Collaborate with teams to design, develop, and support data engineering solutions using Python, cloud platforms, and big data tools while ensuring effective communication."
Junior Data Engineer with Python and AWS,Luxoft,1 - 3 Years,Egypt - Egypt,"Develop and validate ADAS functions using Python, AWS, and data engineering skills, focusing on statistical analysis and dashboarding."
Senior Data Engineer,Vertex Technologies,4 - 9 Years,Cairo - Egypt,"Lead the design and implementation of scalable data pipelines using Databricks, Snowflake, and cloud services while mentoring engineers and optimizing performance."
Middle Data Engineer,Vertex Technologies,2 - 7 Years,Cairo - Egypt,"Design and maintain ETL/ELT pipelines using Databricks, Apache Spark, and SQL, while working with cloud platforms and ensuring data reliability."
Data Engineer,Client of Vurke,3 - 5 Years,United Arab Emirates - United Arab Emirates,"Design and implement ELT or ETL pipelines, ensure data quality, and manage schemas using SQL, Python, and cloud services for analytics."
Data Engineer,Devoteam International,5 - 10 Years,Riyadh - Saudi Arabia,"Design and maintain data quality frameworks, collaborate with teams, conduct profiling, and develop automated checks while mentoring engineers and ensuring compliance."
Senior Data Engineer - OLX Lebanon,Dubizzle Mena,5 - 7 Years,Lebanon - Lebanon,"Responsible for designing data warehouse models, integrating raw data, developing ETL processes, and collaborating with cross-functional teams to deliver data-driven solutions."
Senior Data Engineer,Global Brands Group Holding Limited (GBG),4 - 5 Years,Cairo - Egypt,"Design and develop data warehousing, ETL processes, and analytics solutions while ensuring data security and improving technical skills."
Data Engineer (PySpark),GSSTech Group,5 - 7 Years,Dubai - United Arab Emirates,"Design and maintain scalable ETL pipelines using PySpark, ensure data quality, and optimize performance on Cloudera Data Platform."
Data Engineer,Smart Sense Services,1 - 7 Years,Dubai - United Arab Emirates,"Responsible for developing and maintaining data pipelines, ensuring data quality, and collaborating with analysts using cloud platforms and programming languages."
Manager Data Engineering,DXC Technology,7 - 9 Years,Riyadh - Saudi Arabia,"Manage data engineering projects, develop data pipelines, ensure data quality, and support team collaboration while possessing relevant qualifications and experience."
Data Engineer Specialist,Saudi Pro League (SPL),5 - 7 Years,Riyadh - Saudi Arabia,"The role involves designing and maintaining data infrastructure, developing ETL pipelines, ensuring data quality, and supporting business intelligence initiatives using cloud te..."
"ETIC, Data Engineer, Manager",PricewaterhouseCoopers,7 - 12 Years,Egypt - Egypt,"Lead design and optimization of data platforms on Azure and Databricks, mentoring engineers and ensuring alignment with business strategies and data governance."
"ETIC, Data Engineer Support, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Provide production support for Azure data pipelines, troubleshoot ETL processes, and develop automation tools using Python or PowerShell."
"ETIC, Azure Data Engineer, Senior Associate",PricewaterhouseCoopers,5 - 10 Years,Egypt - Egypt,"The role involves building data pipelines, writing SQL queries, ensuring data integrity, and collaborating with stakeholders in Azure Cloud environments."
"ETIC, Azure Data Engineer, Associate",PricewaterhouseCoopers,2 - 7 Years,Egypt - Egypt,"Build and maintain scalable data pipelines, manage relational databases, mentor junior engineers, and ensure data quality using Python and SQL."
Fabric Data Engineer - Senior Associate,PricewaterhouseCoopers,4 - 9 Years,Egypt - Egypt,"Design and implement scalable data solutions using Microsoft Fabric and Azure services, focusing on data pipelines, analytics, and modern data architecture."
Data Engineer (Lead / Senior / Mid),Xenon7,1 - 7 Years,Egypt - Egypt,"Join a passionate Data Engineering Team to design, develop, and optimize data pipelines using modern technologies like Apache Spark and Kafka."
"ETIC, AWS Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Design and optimize data pipelines on AWS, utilizing AWS Glue and Amazon Redshift, requiring proficiency in Python, SQL, and data governance."
Data Engineer (ETL/ELT pipelines),Arab Solutions,3 - 9 Years,Doha - Qatar,"Design and maintain ETL/ELT pipelines, ensure data quality, support business intelligence, and require strong SQL and data warehousing knowledge."
AVP Data Engineering Lead,ALDAR Properties PJSC,7 - 12 Years,Abu Dhabi - United Arab Emirates,"Architect and optimize scalable data pipelines using Python, Spark, and Databricks; develop AI solutions and cloud-native services on Microsoft Azure."
"ETIC, Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Cairo - Egypt,"Design and optimize data pipelines using Azure and Databricks, ensuring data quality and governance while collaborating with cross-functional teams."
Senior Data Engineer,Unifonic,6 - 11 Years,Cairo - Egypt,"Responsible for building data lakes, evolving data architecture, and establishing best practices in data engineering with expertise in ETL and database technologies."
Data Engineer Senior Lead,EVA Pharma,7 - 12 Years,Egypt - Egypt,"Design and maintain ETL/ELT pipelines, ensure data accuracy, collaborate with AI/ML teams, and mentor data engineers with strong SQL and Python skills."
"Azure and Databricks Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 9 Years,Egypt - Egypt,"Design and optimize data pipelines using Azure Data Factory and Databricks, ensuring data quality and compliance while collaborating with cross-functional teams."
DevOps Data Engineer,Es'hailSat - the Qatar Satellite Company,5 - 10 Years,Doha - Qatar,"Design and manage CI/CD pipelines, automate workflows, and collaborate with teams to ensure data engineering excellence using cloud technologies and tools."
Senior Data Engineer,Atos,5 - 7 Years,Egypt - Egypt,"Design and maintain ETL pipelines, collaborate with stakeholders, utilize Snowflake and Python, and implement data solutions in an agile environment."
"Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Design and maintain data pipelines using Azure Data Factory and Databricks, ensuring data quality and governance with strong Python and SQL skills."
"ETIC, Data Engineer, Senior Associate",PricewaterhouseCoopers,5 - 7 Years,Egypt - Egypt,"Seeking a Data Engineer to build data pipelines, write SQL queries, ensure data integrity, and collaborate with stakeholders in Azure Cloud environments."
Senior Data Engineer,Foodics,5 - 7 Years,Dubai - United Arab Emirates,"Responsible for designing scalable data pipelines, enforcing data contracts, and collaborating with teams while ensuring data security and compliance."
Data Engineer,Jumia Group,5 - 7 Years,Egypt - Egypt,"Design and develop data pipelines using Python, PySpark, and SQL; manage workflows with Apache Airflow; strong analytical skills required."
Data Engineer,flyadeal Egypt,1 - 2 Years,Jeddah - Saudi Arabia,"Responsible for managing SQL database objects, coding, automation tests, and guiding the Data Engineering team while ensuring strong relationships across business functions."
AI Data Engineer,Client of Michael Page,6 - 8 Years,United Arab Emirates - United Arab Emirates,"Build and manage data pipelines for machine learning applications, requiring skills in SQL, Python, and experience with cloud platforms and financial datasets."
Senior Data Engineer,Salla,5 - 10 Years,Al Madina Al Munawarah - Saudi Arabia,"Design and maintain scalable data pipelines, optimize data systems, ensure data quality, and mentor junior engineers with expertise in ClickHouse and real-time processing."
"ETIC, Fabric Data Engineer, Manager",PricewaterhouseCoopers,8 - 13 Years,Egypt - Egypt,"Design and implement scalable data pipelines using Microsoft Fabric, ensuring data quality and governance while collaborating with analytics teams and optimizing workflows."
"AWS Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 5 Years,Cairo - Egypt,"Design and develop data infrastructure and solutions, implement data pipelines, and build client relationships while leveraging advanced technologies."
"Data Engineer, Associate",PricewaterhouseCoopers,1 - 3 Years,Cairo - Egypt,"Responsible for designing data infrastructure, developing data pipelines, and fostering a learning mindset while delivering quality work and commercial awareness."
"ETIC, Data Engineer, Manager",PricewaterhouseCoopers,8 - 13 Years,Egypt - Egypt,"Responsible for designing data infrastructure, developing data pipelines, and mentoring team members while ensuring project success and quality standards."
Senior Data Engineer,Foodics,5 - 7 Years,Riyadh - Saudi Arabia,"Responsible for designing scalable data pipelines, enforcing data contracts, collaborating with machine learning engineers, and ensuring data security and compliance."
Senior Data Engineer,Client of Hirelebanese,5 - 7 Years,Lebanon - Lebanon,"Design and maintain scalable data architectures, optimize performance, implement security standards, and collaborate with teams to develop data-driven products."
Associate Data Engineer - Builders Program,Tamara ,0 - 2 Years,Riyadh - Saudi Arabia,"Develop and maintain a data platform, build robust pipelines, enable analytics, and ensure data security while collaborating with stakeholders."
Data Engineer,Devoteam International,4 - 9 Years,Tunis - Tunisia,"Design and develop data pipelines, optimize SQL queries, implement data architectures on Google Cloud Platform, and ensure data quality and performance."
Data Engineer & Analytic,Binance,0 - 2 Years,Dubai - United Arab Emirates,"Deploy and manage AI evaluation processes, perform data analysis, build scalable data pipelines, and collaborate with teams while utilizing Python and SQL."
Intern Data Engineer,tabby,1 - 4 Years,Saudi Arabia - Saudi Arabia,"Develop and maintain analytical data models, work with SQL and Python, ensure data quality, and improve data processing efficiency."
Senior Data Engineer,Devoteam International,4 - 9 Years,Morocco - Morocco,"Develop processing pipelines using PySpark, set up Kafka workflows, optimize Cassandra schemas, and ensure data quality in distributed environments."
Data Engineer,Vatic Labs,3 - 5 Years,Abu Dhabi - United Arab Emirates,"Design and implement end-to-end ETL/ELT pipelines, optimize databases, and collaborate with teams; requires advanced SQL and cloud experience."
AI & Data Engineer Entry Level,Qatar Mobility Innovations Center,0 - 2 Years,Doha - Qatar,"Assist in prototyping AI solutions, support model evaluation, and contribute to data pipelines while writing clean Python code and documenting work."
"ETIC, Data Engineer (Snowflake), Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Design and build ELT pipelines using Snowflake, develop data models, implement governance, and automate workflows while collaborating with analysts and developers."
Data Engineer Senior GCP,Devoteam International,7 - 12 Years,Morocco - Morocco,"Responsible for designing and maintaining data processing solutions using Google Cloud Platform, Big Data technologies, and programming languages like Scala or Java."
System Data Center Engineer,Dicetek LLC,2 - 7 Years,Dubai - United Arab Emirates (UAE),"Monitor and maintain data center infrastructure, perform upgrades, ensure system reliability, and support capacity planning with relevant certifications."
KAFKA Developer,Dicetek LLC,3 - 8 Years,United Arab Emirates - United Arab Emirates (UAE),"Design and implement Kafka solutions for data ingestion and processing, requiring experience in Kafka development, microservices, and cloud platforms."
SENIOR DATA ARCHITECT AND REPORTING ANALYST,DUNCAN AND ROSS MANAGEMENT CONSULTANCIES,5 - 10 Years,Doha - Qatar,"This role involves developing advanced reporting frameworks, supporting data-driven decisions, and mentoring analysts while utilizing Power BI and ensuring architectural consist..."
